soilseries_id,planting_time,area,soil,rotate_plant_type,cultivation_period,weed_category,weed_type,weed_remove,weed_remove_drug,grass_killer,fertilizing,fertilizer_name,fertilizer_volume_kg,hormone,hormone_volume_liter,flour_percentage
10,1,3,2,1,8,1,1,1,1,1,1,1,50,1,42,10
11,0,3,1,2,0,2,2,2,2,1,1,1,30,1,10,18
1,0,1,4,3,0,3,3,3,2,2,1,2,87,1,13,25
1,1,1,4,3,12,3,4,1,2,1,0,0,53,1,17,33
2,1,1,1,1,8,1,5,3,2,1,1,2,2,1,35,28
3,0,1,1,1,8,2,6,1,1,1,1,1,12,1,71,5
22,0,3,2,2,8,1,7,2,1,2,1,1,37,1,76,6
13,1,3,4,1,0,1,8,1,2,2,0,0,37,1,75,7
14,1,1,4,3,9,1,1,2,2,1,1,1,40,0,40,32
22,0,3,1,3,9,2,2,2,1,1,1,2,95,1,21,33
1,0,3,1,3,9,3,7,2,1,1,1,1,4,1,68,11
2,1,3,1,1,10,3,7,1,2,2,1,2,32,1,11,35
10,1,1,1,1,8,1,7,2,0,0,1,2,16,0,64,8
11,0,1,1,2,0,2,8,2,0,0,1,2,53,1,52,2
12,0,1,2,1,0,3,3,1,2,1,1,2,81,1,40,35
13,0,2,4,2,8,1,4,3,2,1,1,2,75,1,69,25
14,0,3,4,1,8,2,5,3,1,2,1,1,75,1,31,4
15,1,1,1,3,8,3,6,1,2,1,1,2,15,1,42,14
16,0,3,2,1,8,3,2,1,1,1,1,2,5,1,40,19
17,0,3,2,1,10,3,3,3,2,1,1,2,87,0,15,29
22,1,3,2,2,8,3,3,3,1,1,1,1,12,1,37,14
14,1,1,1,1,8,1,3,1,2,1,1,1,18,1,15,26
15,1,1,1,3,9,2,3,3,1,2,1,1,99,1,88,18
22,1,1,4,1,8,3,4,0,2,2,1,1,14,1,60,30
22,0,3,2,3,8,3,5,3,2,2,0,0,49,1,77,27
23,0,3,2,1,0,3,6,1,2,1,1,2,26,1,19,33
24,1,2,2,3,0,1,7,1,2,2,1,2,11,1,31,30
14,1,1,2,1,11,2,7,3,1,2,1,2,33,1,38,16
15,1,1,2,1,11,3,2,2,2,2,1,2,58,1,88,13
22,0,2,2,1,11,3,7,3,2,1,1,2,61,1,56,27
29,0,3,1,3,11,3,1,1,1,1,1,2,10,1,100,30
30,1,2,1,1,11,3,7,3,1,1,1,1,98,1,58,20
15,1,2,2,1,0,1,1,2,1,1,0,0,87,1,72,33
4,1,2,2,1,8,2,1,3,1,1,1,2,6,1,78,34
5,1,2,2,2,8,1,7,3,0,1,1,1,10,1,1,15
6,0,3,2,2,8,2,1,3,0,1,1,2,92,0,71,21
7,0,1,2,1,8,3,7,2,1,1,1,2,79,1,3,35
8,1,3,2,2,8,3,2,3,1,2,1,2,62,1,77,9
9,1,3,2,2,8,1,2,3,0,2,1,1,42,1,11,7
27,1,2,1,2,8,2,2,1,0,2,1,2,41,1,50,10
28,0,2,1,3,0,3,7,3,0,0,0,0,65,1,18,19
28,0,2,2,1,0,3,7,3,1,2,1,2,81,1,88,2
16,1,2,2,2,8,3,6,3,2,0,1,2,35,1,89,20
17,1,3,2,2,0,3,7,1,2,0,1,2,48,1,9,28
32,1,3,1,2,0,3,3,3,1,1,1,1,53,1,91,3
18,0,2,1,2,8,2,7,2,2,1,1,2,90,1,95,25
19,0,1,2,3,8,2,7,3,1,1,1,1,14,1,66,17
20,0,1,2,2,8,2,3,1,2,1,0,0,21,1,31,1
21,0,3,1,2,8,2,3,1,1,1,1,2,100,0,38,14
21,1,3,1,3,0,2,4,2,2,1,0,0,14,1,27,10
10,1,3,2,1,8,1,1,1,1,1,1,1,51,1,99,3
11,0,3,1,2,0,2,2,2,2,1,1,1,55,1,76,29
1,0,1,4,3,0,3,3,3,2,2,1,2,20,1,24,14
1,1,1,4,3,12,3,4,1,2,1,0,0,27,1,9,15
2,1,1,1,1,8,1,5,3,2,1,1,2,21,1,43,27
3,0,1,1,1,8,2,6,1,1,1,1,1,100,1,39,19
22,0,3,2,2,8,1,7,2,1,2,1,1,16,1,45,35
13,1,3,4,1,0,1,8,1,2,2,0,0,21,1,92,17
14,1,1,4,3,9,1,1,2,2,1,1,1,17,0,11,16
22,0,3,1,3,9,2,2,2,1,1,1,2,14,1,35,14
1,0,3,1,3,9,3,7,2,1,1,1,1,29,1,24,1
2,1,3,1,1,10,3,7,1,2,2,1,2,13,1,18,7
10,1,1,1,1,8,1,7,2,0,0,1,2,51,0,97,5
11,0,1,1,2,0,2,8,2,0,0,1,2,73,1,20,24
12,0,1,2,1,0,3,3,1,2,1,1,2,67,1,89,24
13,0,2,4,2,8,1,4,3,2,1,1,2,56,1,35,2
14,0,3,4,1,8,2,5,3,1,2,1,1,76,1,87,10
15,1,1,1,3,8,3,6,1,2,1,1,2,35,1,5,34
16,0,3,2,1,8,3,2,1,1,1,1,2,1,1,96,30
17,0,3,2,1,10,3,3,3,2,1,1,2,68,0,81,5
22,1,3,2,2,8,3,3,3,1,1,1,1,3,1,48,33
14,1,1,1,1,8,1,3,1,2,1,1,1,20,1,87,29
15,1,1,1,3,9,2,3,3,1,2,1,1,61,1,21,29
22,1,1,4,1,8,3,4,0,2,2,1,1,76,1,86,3
22,0,3,2,3,8,3,5,3,2,2,0,0,41,1,23,15
23,0,3,2,1,0,3,6,1,2,1,1,2,96,1,47,1
24,1,2,2,3,0,1,7,1,2,2,1,2,89,1,38,8
14,1,1,2,1,11,2,7,3,1,2,1,2,28,1,35,7
15,1,1,2,1,11,3,2,2,2,2,1,2,90,1,3,28
22,0,2,2,1,11,3,7,3,2,1,1,2,72,1,24,23
29,0,3,1,3,11,3,1,1,1,1,1,2,95,1,58,33
30,1,2,1,1,11,3,7,3,1,1,1,1,26,1,77,15
15,1,2,2,1,0,1,1,2,1,1,0,0,71,1,57,34
4,1,2,2,1,8,2,1,3,1,1,1,2,28,1,3,34
5,1,2,2,2,8,1,7,3,0,1,1,1,86,1,64,5
6,0,3,2,2,8,2,1,3,0,1,1,2,35,0,30,9
7,0,1,2,1,8,3,7,2,1,1,1,2,33,1,58,17
8,1,3,2,2,8,3,2,3,1,2,1,2,100,1,22,31
9,1,3,2,2,8,1,2,3,0,2,1,1,36,1,86,20
27,1,2,1,2,8,2,2,1,0,2,1,2,64,1,43,11
28,0,2,1,3,0,3,7,3,0,0,0,0,35,1,16,10
28,0,2,2,1,0,3,7,3,1,2,1,2,97,1,59,24
16,1,2,2,2,8,3,6,3,2,0,1,2,48,1,94,20
17,1,3,2,2,0,3,7,1,2,0,1,2,8,1,22,19
32,1,3,1,2,0,3,3,3,1,1,1,1,96,1,18,32
18,0,2,1,2,8,2,7,2,2,1,1,2,62,1,20,1
19,0,1,2,3,8,2,7,3,1,1,1,1,89,1,67,2
20,0,1,2,2,8,2,3,1,2,1,0,0,50,1,94,17
21,0,3,1,2,8,2,3,1,1,1,1,2,46,0,34,18
21,1,3,1,3,0,2,4,2,2,1,0,0,65,1,90,20
21,1,3,1,3,0,2,4,2,2,1,0,0,17,1,79,4
11,0,3,1,2,0,2,2,2,2,1,1,1,1,1,2,7
1,0,1,4,3,0,3,3,3,2,2,1,2,2,1,2,4
1,1,1,4,3,12,3,4,1,2,1,0,0,0,1,1,14
2,1,1,1,1,8,1,5,3,2,1,1,2,5,1,1,26
3,0,1,1,1,8,2,6,1,1,1,1,1,7,1,6,5
22,0,3,2,2,8,1,7,2,1,2,1,1,5,1,2,7
13,1,3,4,1,0,1,8,1,2,2,0,0,0,1,8,15
14,1,1,4,3,9,1,1,2,2,1,1,1,4,0,0,1
22,0,3,1,3,9,2,2,2,1,1,1,2,6,1,1,1
1,0,3,1,3,9,3,7,2,1,1,1,1,5,1,2,14
2,1,3,1,1,10,3,7,1,2,2,1,2,1,1,1,33
10,1,1,1,1,8,1,7,2,0,0,1,2,8,0,0,11
11,0,1,1,2,0,2,8,2,0,0,1,2,5,1,5,19
12,0,1,2,1,0,3,3,1,2,1,1,2,9,1,1,18
13,0,2,4,2,8,1,4,3,2,1,1,2,1,1,1,7
14,0,3,4,1,8,2,5,3,1,2,1,1,1,1,2,19
15,1,1,1,3,8,3,6,1,2,1,1,2,3,1,1,31
16,0,3,2,1,8,3,2,1,1,1,1,2,1,1,2,11
17,0,3,2,1,10,3,3,3,2,1,1,2,4,0,0,30
22,1,3,2,2,8,3,3,3,1,1,1,1,2,1,9,26
14,1,1,1,1,8,1,3,1,2,1,1,1,1,1,1,30
15,1,1,1,3,9,2,3,3,1,2,1,1,4,1,3,18
22,1,1,4,1,8,3,4,0,2,2,1,1,5,1,1,21
22,0,3,2,3,8,3,5,3,2,2,0,0,0,1,1,35
23,0,3,2,1,0,3,6,1,2,1,1,2,7,1,1,35
24,1,2,2,3,0,1,7,1,2,2,1,2,1,1,5,4
14,1,1,2,1,11,2,7,3,1,2,1,2,2,1,2,8
15,1,1,2,1,11,3,2,2,2,2,1,2,5,1,1,17
22,0,2,2,1,11,3,7,3,2,1,1,2,1,1,1,7
29,0,3,1,3,11,3,1,1,1,1,1,2,1,1,8,7
30,1,2,1,1,11,3,7,3,1,1,1,1,1,1,1,5
15,1,2,2,1,0,1,1,2,1,1,0,0,0,1,5,24
4,1,2,2,1,8,2,1,3,1,1,1,2,6,1,1,14
5,1,2,2,2,8,1,7,3,0,1,1,1,2,1,2,24
6,0,3,2,2,8,2,1,3,0,1,1,2,8,0,0,14
7,0,1,2,1,8,3,7,2,1,1,1,2,1,1,1,13
8,1,3,2,2,8,3,2,3,1,2,1,2,5,1,1,3
9,1,3,2,2,8,1,2,3,0,2,1,1,1,1,2,24
27,1,2,1,2,8,2,2,1,0,2,1,2,1,1,1,18
28,0,2,1,3,0,3,7,3,0,0,0,0,0,1,4,8
28,0,2,2,1,0,3,7,3,1,2,1,2,1,1,1,15
16,1,2,2,2,8,3,6,3,2,0,1,2,5,1,5,19
17,1,3,2,2,0,3,7,1,2,0,1,2,4,1,2,31
32,1,3,1,2,0,3,3,3,1,1,1,1,4,1,1,11
18,0,2,1,2,8,2,7,2,2,1,1,2,3,1,1,3
19,0,1,2,3,8,2,7,3,1,1,1,1,1,1,3,9
20,0,1,2,2,8,2,3,1,2,1,0,0,0,1,1,25
21,0,3,1,2,8,2,3,1,1,1,1,2,2,0,0,29
21,1,3,1,3,0,2,4,2,2,1,0,0,0,1,2,23
10,1,3,2,1,8,1,1,1,1,1,1,1,5,1,1,31
11,0,3,1,2,0,2,2,2,2,1,1,1,1,1,2,26
1,0,1,4,3,0,3,3,3,2,2,1,2,2,1,2,2
1,1,1,4,3,12,3,4,1,2,1,0,0,0,1,1,14
2,1,1,1,1,8,1,5,3,2,1,1,2,5,1,1,27
3,0,1,1,1,8,2,6,1,1,1,1,1,7,1,6,5
22,0,3,2,2,8,1,7,2,1,2,1,1,5,1,2,22
13,1,3,4,1,0,1,8,1,2,2,0,0,0,1,8,28
14,1,1,4,3,9,1,1,2,2,1,1,1,4,0,0,28
22,0,3,1,3,9,2,2,2,1,1,1,2,6,1,1,23
1,0,3,1,3,9,3,7,2,1,1,1,1,5,1,2,14
